nr.,book,starts on line,ends on line,speaker,speech/this speaker,mortal/god,anonymous?,disguise?,length,dialogue?,addressee,battle exhortation (ch. 2)
1,1,17,21,Chryses,1 of 3,mortal,,,5,first part of dialogue,Agamemnon,
2,1,26,32,Agamemnon,1 of 47,mortal,,,7,second part of dialogue,Chryses,
3,1,37,42,Chryses,2 of 3,mortal,,,6,soliloquy,Apollo (prayer),
4,1,59,67,Achilles,1 of 87,mortal,,,9,first part of dialogue,Agamemnon,
5,1,74,83,Calchas,1 of 2,mortal,,,10,second part of dialogue,Achilles,
6,1,85,91,Achilles,2 of 87,mortal,,,7,third part of dialogue,Calchas,
7,1,93,100,Calchas,2 of 2,mortal,,,8,fourth part of dialogue,Achilles,
8,1,106,120,Agamemnon,2 of 47,mortal,,,15,fifth part of dialogue,Calchas,
9,1,122,129,Achilles,3 of 87,mortal,,,8,sixth part of dialogue,Agamemnon,
10,1,131,147,Agamemnon,3 of 47,mortal,,,17,seventh part of dialogue,Achilles,
11,1,149,171,Achilles,4 of 87,mortal,,,23,eighth part of dialogue,Agamemnon,
12,1,173,187,Agamemnon,4 of 47,mortal,,,15,ninth part of dialogue,Achilles,
13,1,202,205,Achilles,5 of 87,mortal,,,4,first part of dialogue,Athena,
14,1,207,214,Athena,1 of 20,god,,,8,second part of dialogue,Achilles,
15,1,216,218,Achilles,6 of 87,mortal,,,3,third part of dialogue,Athena,
16,1,225,244,Achilles,7 of 87,mortal,,,20,tenth part of dialogue,Agamemnon,
17,1,254,284,Nestor,1 of 33,mortal,,,31,eleventh part of dialogue,Agamemnon and Achilles,
18,1,286,291,Agamemnon,5 of 47,mortal,,,6,twelfth part of dialogue,Nestor,
19,1,293,303,Achilles,8 of 87,mortal,,,11,thirteenth part of dialogue,Agamemnon,
20,1,322,325,Agamemnon,6 of 47,mortal,,,4,single speech,Talthybius and Eurybates,
21,1,334,344,Achilles,9 of 87,mortal,,,11,single speech,Talthybius & Eurybates / Patroclus,
22,1,352,356,Achilles,10 of 87,mortal,,,5,first part of dialogue,Thetis,
23,1,362,363,Thetis,1 of 14,god,,,2,second part of dialogue,Achilles,
24,1,365,412,Achilles,11 of 87,mortal,,,48,third part of dialogue,Thetis,
25,1,414,427,Thetis,2 of 14,god,,,14,fourth part of dialogue,Achilles,
26,1,442,445,Odysseus,1 of 27,mortal,,,4,single speech,Chryses,
27,1,451,456,Chryses,3 of 3,mortal,,,6,soliloquy,Apollo (prayer),
28,1,503,510,Thetis,3 of 14,god,,,8,first part of dialogue,Zeus,
29,1,514,516,Thetis,4 of 14,god,,,3,second part of dialogue,Zeus,
30,1,518,527,Zeus,1 of 39,god,,,10,third part of dialogue,Thetis,
31,1,540,543,Hera,1 of 31,god,,,4,first part of dialogue,Zeus,
32,1,545,550,Zeus,2 of 39,god,,,6,second part of dialogue,Hera,
33,1,552,559,Hera,2 of 31,god,,,8,third part of dialogue,Zeus,
34,1,561,567,Zeus,3 of 39,god,,,7,fourth part of dialogue,Hera,
35,1,573,583,Hephaestus,1 of 5,god,,,11,single speech,gods,
36,1,586,594,Hephaestus,2 of 5,god,,,9,single speech,Hera,
37,2,8,15,Zeus,4 of 39,god,,,8,single speech,Dream,
38,2,23,34,dream,1 of 1,god,,Nestor,12,single speech,Agamemnon,type 2: god to mortals
39,2,56,75,Agamemnon,7 of 47,mortal,,,20,first part of dialogue,leaders of the greeks,
40,2,79,83,Nestor,2 of 33,mortal,,,5,second part of dialogue,leaders of the greeks,
41,2,110,141,Agamemnon,8 of 47,mortal,,,32,single speech,Greeks,
42,2,157,165,Hera,3 of 31,god,,,9,single speech,Athena,
43,2,173,181,Athena,2 of 20,god,,,9,single speech,Odysseus,
44,2,190,197,Odysseus,2 of 27,mortal,,,8,single speech,Greeks,
45,2,200,206,Odysseus,3 of 27,mortal,,,7,single speech,Greeks,
46,2,225,242,Thersites,1 of 1,mortal,,,18,first part of dialogue,Agamemnon,
